metric,pretty_name,mean,std,min,max,range,cv
storage_power_hydrogen_storage_mw,Storage power: hydroGeneration: storage (MW),11423.381199942509,2969.341879965282,6767.590956247187,19677.722417727862,12910.131461480676,0.2599354628890635
storage_power_hot_water_mw,Storage power: hot water (MW),28702.309947921563,7259.64133384239,11133.908614808432,44131.88413595394,32997.975521145505,0.2529288181687999
h2_pipeline_total_mw,h2 pipeline total (MW),10793.137142208387,2266.953154326013,7072.076810516184,16256.64543958534,9184.568629069156,0.21003653751981988
heat_pump_total_mw,heat (p.u.)mp total (MW),22959.795552140975,3427.0236949161617,14510.535903110636,33234.71110240466,18724.175199294026,0.14926194299655232
cap_gen_PV ground_mw,Capacity: PV ground (MW),78230.06789728977,11234.005201793389,69844.0,124181.20325430157,54337.20325430157,0.14360214050360787
electrolyser_total_mw,electrolyser total (MW),23496.160020919397,1370.3417919438366,20505.62266824096,27433.314282439234,6927.691614198273,0.05832194668080983
elec_transmission_total_mw,elec transmission total (MW),165158.58663114486,1336.8053835277865,160937.15718331363,166830.98542207453,5893.828238760907,0.008094071345580876
storage_power_hydrogen_storage_other_mw,Storage power: hydroGeneration: storage other (MW),22353.000000000004,2.5317361452893135e-11,22352.999999999985,22353.000000000226,2.4010660126805305e-10,1.132615821272005e-15
storage_power_transport_mw,Storage power: transport (MW),1859.0596559980406,1.3642420526593924e-12,1859.05965599804,1859.05965599804,0.0,7.33834467472748e-16
chp_h2_total_mw,chp h2 total (MW),917.4989160923332,2.2737367544323206e-13,917.4989160923334,917.4989160923334,0.0,2.4781901259526953e-16
storage_power_flow_mw,Storage power: flow (MW),156.0,1.5925125061591567e-14,155.99999999999997,156.0000000000001,1.4210854715202004e-13,1.0208413501020234e-16
cap_gen_Natural gas_mw,Capacity: Natural gas (MW),20200.0,1.1095731339636016e-12,20200.0,20200.000000000004,3.637978807091713e-12,5.492936306750503e-17
cap_gen_Biogas plant_mw,Capacity: Biogas plant (MW),4999.0,0.0,4999.0,4999.0,0.0,0.0
storage_power_PSH_mw,Storage power: PSH (MW),9070.0,0.0,9070.0,9070.0,0.0,0.0
cap_gen_nuclear_mw,Capacity: nuclear (MW),19843.0,0.0,19843.0,19843.0,0.0,0.0
storage_power_battery_mw,Storage power: battery (MW),17469.0,0.0,17469.0,17469.0,0.0,0.0
cap_gen_wind_mw,Capacity: wind (MW),36400.0,0.0,36400.0,36400.0,0.0,0.0
cap_gen_wind offshore_mw,Capacity: wind offshore (MW),45343.0,0.0,45343.0,45343.0,0.0,0.0
