x,y,color_value,n_years,years,color_metric
0.2550102838079212,84.788251395174,24.349129279281776,1,1996,electrolyser_total_mw
0.2584128756625971,84.68217706543362,23.673387539008566,1,1963,electrolyser_total_mw
0.2652116806330993,78.50338823561495,23.812955562146136,1,2001,electrolyser_total_mw
0.267089603647564,72.30986341462832,25.68751298259088,1,2018,electrolyser_total_mw
0.2680708448520506,74.41786575408952,24.973141320065732,1,2016,electrolyser_total_mw
0.2673878505723261,76.95000324013883,21.684163208748192,1,2006,electrolyser_total_mw
0.2663533040986157,78.27779845521677,23.460400672697105,1,1982,electrolyser_total_mw
0.2690017226533311,79.98993048202422,26.421246796226782,1,1972,electrolyser_total_mw
0.2694891743064448,81.16602197421255,25.62727766920613,1,1958,electrolyser_total_mw
0.2727402294563436,73.64468011997474,24.177399198253543,1,2025,electrolyser_total_mw
0.2725705395631265,77.17275093937582,23.465068418114466,1,2021,electrolyser_total_mw
0.2705458345732511,77.49283675425906,24.774659073270975,2,"2009, 2013",electrolyser_total_mw
0.2719134755877424,78.30618897233009,23.984703120087357,1,1959,electrolyser_total_mw
0.271215027266423,79.81315775715623,23.300144115293314,2,"1960, 1968",electrolyser_total_mw
0.2735512271720597,81.70294566748613,24.14557683341173,1,2010,electrolyser_total_mw
0.272762153617588,82.473918792977,23.249226020072065,2,"1964, 1976",electrolyser_total_mw
0.2733264100535141,82.83921662683929,23.676164515000643,1,1955,electrolyser_total_mw
0.2760367985220965,73.39520246772311,22.326517274409582,1,2022,electrolyser_total_mw
0.2740432928172779,75.66889250816395,23.519990799551717,1,1999,electrolyser_total_mw
0.27443410564116766,78.18890053975214,23.080225999212672,2,"2003, 2005",electrolyser_total_mw
0.2773223051205679,79.24912097379041,26.66911859901387,1,1966,electrolyser_total_mw
0.2743612767039916,82.55718485157048,27.433314282439234,1,1952,electrolyser_total_mw
0.2771247719196648,84.99974136802639,26.26913909244226,1,1985,electrolyser_total_mw
0.28109645660977495,73.02347586293725,22.925243479267543,2,"2000, 2014",electrolyser_total_mw
