x,y,color_value,n_years,years,color_metric
0.2550102838079212,84.788251395174,13.898550441238466,1,1996,h2_pipeline_total_mw
0.2584128756625971,84.68217706543362,10.500589400395736,1,1963,h2_pipeline_total_mw
0.2652116806330993,78.50338823561495,11.485606750670525,1,2001,h2_pipeline_total_mw
0.267089603647564,72.30986341462832,12.034395608423035,1,2018,h2_pipeline_total_mw
0.2680708448520506,74.41786575408952,13.86252691245688,1,2016,h2_pipeline_total_mw
0.2673878505723261,76.95000324013883,8.378407778231011,1,2006,h2_pipeline_total_mw
0.2663533040986157,78.27779845521677,10.20507985857908,1,1982,h2_pipeline_total_mw
0.2690017226533311,79.98993048202422,14.135653779143917,1,1972,h2_pipeline_total_mw
0.2694891743064448,81.16602197421255,13.480690919760992,1,1958,h2_pipeline_total_mw
0.2727402294563436,73.64468011997474,13.29837461291565,1,2025,h2_pipeline_total_mw
0.2725705395631265,77.17275093937582,11.413229634084141,1,2021,h2_pipeline_total_mw
0.2705458345732511,77.49283675425906,10.835311567932191,2,"2009, 2013",h2_pipeline_total_mw
0.2719134755877424,78.30618897233009,9.317152729105281,1,1959,h2_pipeline_total_mw
0.271215027266423,79.81315775715623,11.519389586389956,2,"1960, 1968",h2_pipeline_total_mw
0.2735512271720597,81.70294566748613,9.759087518836761,1,2010,h2_pipeline_total_mw
0.272762153617588,82.473918792977,11.544852714958555,2,"1964, 1976",h2_pipeline_total_mw
0.2733264100535141,82.83921662683929,10.120345526153372,1,1955,h2_pipeline_total_mw
0.2760367985220965,73.39520246772311,10.853382886195407,1,2022,h2_pipeline_total_mw
0.2740432928172779,75.66889250816395,12.00281876654088,1,1999,h2_pipeline_total_mw
0.27443410564116766,78.18890053975214,10.480584952235565,2,"2003, 2005",h2_pipeline_total_mw
0.2773223051205679,79.24912097379041,12.880999261625664,1,1966,h2_pipeline_total_mw
0.2743612767039916,82.55718485157048,15.623072356778048,1,1952,h2_pipeline_total_mw
0.2771247719196648,84.99974136802639,12.830552340051005,1,1985,h2_pipeline_total_mw
0.28109645660977495,73.02347586293725,8.633550903305238,2,"2000, 2014",h2_pipeline_total_mw
0.2801208680168493,78.12278458747386,8.79851744225598,1,1951,h2_pipeline_total_mw
0.2802534066196815,79.38372547848603,13.564605518161912,1,1977,h2_pipeline_total_mw
0.27969880451733037,79.92056389789593,9.888339565964129,3,"1973, 1984, 1997",h2_pipeline_total_mw
0.2819730827221366,83.0354526550363,14.790070522893325,1,1978,h2_pipeline_total_mw
0.27939551384093897,84.1514586594252,9.516767107596724,2,"1947, 1954",h2_pipeline_total_mw
0.2797773376432232,84.96663892393258,12.308860544911457,1,1980,h2_pipeline_total_mw
0.2805504111198068,85.84946598364837,12.574902923910985,1,1987,h2_pipeline_total_mw
0.28501539270979,71.14519321539235,14.370060773131648,1,2023,h2_pipeline_total_mw
0.2839595427405337,77.43664297682905,12.873913235206,1,2012,h2_pipeline_total_mw
0.2842038148631265,79.19514194685391,12.827591145614335,2,"1948, 1957",h2_pipeline_total_mw
0.2825688620167839,80.23606226435905,12.397771928331796,2,"1944, 1991",h2_pipeline_total_mw
0.282480929158645,83.29609659242644,10.254412069113124,1,1970,h2_pipeline_total_mw
0.2840476915473064,86.96084091726897,10.111817800647625,1,1942,h2_pipeline_total_mw
0.2841258873243679,87.70979185200903,10.009882084468735,1,1941,h2_pipeline_total_mw
0.2861426488905569,67.85369294780578,9.221672339723186,1,2024,h2_pipeline_total_mw
0.2873378931833378,75.80345361145527,12.351914964432885,1,1975,h2_pipeline_total_mw
0.2886234815925221,78.42202368823841,8.788972003252969,2,"1953, 1988",h2_pipeline_total_mw
0.288773340863557,78.83679115156109,8.741529825799148,2,"1971, 1995",h2_pipeline_total_mw
0.287055111539922,80.55371926269848,10.389509280037274,2,"1946, 1981",h2_pipeline_total_mw
0.2899151554356699,81.21100369877327,11.441639659176555,1,1945,h2_pipeline_total_mw
0.2875522943223209,83.9685509639248,13.8092643692686,1,1962,h2_pipeline_total_mw
0.2873085220997101,84.54704822615008,14.454948888472678,1,1969,h2_pipeline_total_mw
0.2938150434407721,73.47486852464257,9.896789617535344,1,2008,h2_pipeline_total_mw
0.2900629256269116,74.2393912980409,8.451957395831856,1,1989,h2_pipeline_total_mw
0.2935911573830869,76.7721876414409,8.648120479093786,1,1967,h2_pipeline_total_mw
0.2913705470178742,77.82674357148375,9.681615155960749,1,2004,h2_pipeline_total_mw
0.2936857699859111,78.10872207028083,9.439144136644735,1,1974,h2_pipeline_total_mw
0.2958712940932733,71.25910694090223,7.408648655546602,1,2020,h2_pipeline_total_mw
0.2946830462948457,75.12674678959368,7.315868209077634,1,2002,h2_pipeline_total_mw
0.2952345763053726,75.90171927256853,12.009621166956101,1,2011,h2_pipeline_total_mw
0.2955744264371152,76.63963497204149,8.889001694493137,1,1992,h2_pipeline_total_mw
0.29475338062972084,79.37303879526263,9.909833147798262,2,"1943, 1950",h2_pipeline_total_mw
0.3009878987110459,70.63817907700232,7.322205612902931,1,2019,h2_pipeline_total_mw
0.2997860604652306,74.00649008377984,9.08217116493754,1,2007,h2_pipeline_total_mw
0.3000364737913076,75.84226072329201,8.95962140121738,2,"1994, 2017",h2_pipeline_total_mw
0.3005345806892266,78.35153376344613,9.45568908907583,1,1961,h2_pipeline_total_mw
0.2994073892182293,80.38024869491514,13.953250040797487,1,1993,h2_pipeline_total_mw
0.3006630381279372,81.69026693829441,8.731087003040562,1,1986,h2_pipeline_total_mw
0.2980353916174035,82.76988405980836,8.129869011321471,1,1979,h2_pipeline_total_mw
0.2992476422299521,84.587841676648,12.485249697808788,1,1965,h2_pipeline_total_mw
0.2996914406620951,90.17834919922404,9.529263258892444,1,1940,h2_pipeline_total_mw
0.3020742733520198,72.19112679916728,12.830378046666144,1,2015,h2_pipeline_total_mw
0.3030306747077313,74.97731113984734,9.08690145085091,1,1990,h2_pipeline_total_mw
0.3056617026675937,75.80899762599722,7.58149288932915,1,1983,h2_pipeline_total_mw
0.30434574991696384,78.35327862278426,9.49187410638662,2,"1949, 1998",h2_pipeline_total_mw
0.3130349658932291,87.16902483851312,13.525132196593177,1,1956,h2_pipeline_total_mw
