x,y,color_value,n_years,years,color_metric
0.2550102838079212,84.788251395174,28.420852584508715,1,1996,heat_pump_total_mw
0.2584128756625971,84.68217706543362,27.413129930234977,1,1963,heat_pump_total_mw
0.2652116806330993,78.50338823561495,22.381027815776342,1,2001,heat_pump_total_mw
0.267089603647564,72.30986341462832,25.69888941060269,1,2018,heat_pump_total_mw
0.2680708448520506,74.41786575408952,22.41419526627765,1,2016,heat_pump_total_mw
0.2673878505723261,76.95000324013883,28.66630718119131,1,2006,heat_pump_total_mw
0.2663533040986157,78.27779845521677,23.813747428285478,1,1982,heat_pump_total_mw
0.2690017226533311,79.98993048202422,21.933867299806987,1,1972,heat_pump_total_mw
0.2694891743064448,81.16602197421255,24.401949790933628,1,1958,heat_pump_total_mw
0.2727402294563436,73.64468011997474,22.495993265474528,1,2025,heat_pump_total_mw
0.2725705395631265,77.17275093937582,23.530098505596722,1,2021,heat_pump_total_mw
0.2705458345732511,77.49283675425906,25.122143673462077,2,"2009, 2013",heat_pump_total_mw
0.2719134755877424,78.30618897233009,23.45686058702101,1,1959,heat_pump_total_mw
0.271215027266423,79.81315775715623,22.09445622260162,2,"1960, 1968",heat_pump_total_mw
0.2735512271720597,81.70294566748613,24.0850449240706,1,2010,heat_pump_total_mw
0.272762153617588,82.473918792977,25.519909333826256,2,"1964, 1976",heat_pump_total_mw
0.2733264100535141,82.83921662683929,23.74548394208077,1,1955,heat_pump_total_mw
0.2760367985220965,73.39520246772311,20.513674072029012,1,2022,heat_pump_total_mw
0.2740432928172779,75.66889250816395,20.304298914646797,1,1999,heat_pump_total_mw
0.27443410564116766,78.18890053975214,22.81732196943446,2,"2003, 2005",heat_pump_total_mw
0.2773223051205679,79.24912097379041,23.77212109917053,1,1966,heat_pump_total_mw
0.2743612767039916,82.55718485157048,22.3466104905182,1,1952,heat_pump_total_mw
0.2771247719196648,84.99974136802639,30.85804407800712,1,1985,heat_pump_total_mw
0.28109645660977495,73.02347586293725,18.351210342958524,2,"2000, 2014",heat_pump_total_mw
0.2801208680168493,78.12278458747386,26.433478261460486,1,1951,heat_pump_total_mw
0.2802534066196815,79.38372547848603,23.60618791938211,1,1977,heat_pump_total_mw
0.27969880451733037,79.92056389789593,22.412960300388264,3,"1973, 1984, 1997",heat_pump_total_mw
0.2819730827221366,83.0354526550363,26.3839775655888,1,1978,heat_pump_total_mw
0.27939551384093897,84.1514586594252,27.67774261930975,2,"1947, 1954",heat_pump_total_mw
0.2797773376432232,84.96663892393258,22.118838905924544,1,1980,heat_pump_total_mw
0.2805504111198068,85.84946598364837,33.23471110240466,1,1987,heat_pump_total_mw
0.28501539270979,71.14519321539235,19.823639339944798,1,2023,heat_pump_total_mw
0.2839595427405337,77.43664297682905,27.66526191973014,1,2012,heat_pump_total_mw
0.2842038148631265,79.19514194685391,22.944273330649274,2,"1948, 1957",heat_pump_total_mw
0.2825688620167839,80.23606226435905,23.379429450109306,2,"1944, 1991",heat_pump_total_mw
0.282480929158645,83.29609659242644,26.5310684787821,1,1970,heat_pump_total_mw
0.2840476915473064,86.96084091726897,26.626694046012936,1,1942,heat_pump_total_mw
0.2841258873243679,87.70979185200903,25.385466480537765,1,1941,heat_pump_total_mw
0.2861426488905569,67.85369294780578,18.988287460115732,1,2024,heat_pump_total_mw
0.2873378931833378,75.80345361145527,22.22658721177912,1,1975,heat_pump_total_mw
0.2886234815925221,78.42202368823841,21.444816473332516,2,"1953, 1988",heat_pump_total_mw
0.288773340863557,78.83679115156109,23.013525991953237,2,"1971, 1995",heat_pump_total_mw
0.287055111539922,80.55371926269848,22.48286430519625,2,"1946, 1981",heat_pump_total_mw
0.2899151554356699,81.21100369877327,22.80851729974222,1,1945,heat_pump_total_mw
0.2875522943223209,83.9685509639248,23.56806158094108,1,1962,heat_pump_total_mw
0.2873085220997101,84.54704822615008,25.157252597490135,1,1969,heat_pump_total_mw
0.2938150434407721,73.47486852464257,19.298931240751728,1,2008,heat_pump_total_mw
0.2900629256269116,74.2393912980409,18.51572626707765,1,1989,heat_pump_total_mw
0.2935911573830869,76.7721876414409,20.8000306315196,1,1967,heat_pump_total_mw
0.2913705470178742,77.82674357148375,23.751876600539354,1,2004,heat_pump_total_mw
0.2936857699859111,78.10872207028083,17.0405547816126,1,1974,heat_pump_total_mw
0.2958712940932733,71.25910694090223,14.510535903110636,1,2020,heat_pump_total_mw
0.2946830462948457,75.12674678959368,22.3301216137993,1,2002,heat_pump_total_mw
0.2952345763053726,75.90171927256853,21.09736659131279,1,2011,heat_pump_total_mw
0.2955744264371152,76.63963497204149,20.801784685429002,1,1992,heat_pump_total_mw
0.29475338062972084,79.37303879526263,23.051209340595193,2,"1943, 1950",heat_pump_total_mw
0.3009878987110459,70.63817907700232,17.12225954313501,1,2019,heat_pump_total_mw
0.2997860604652306,74.00649008377984,16.67947219525467,1,2007,heat_pump_total_mw
0.3000364737913076,75.84226072329201,20.933139699159653,2,"1994, 2017",heat_pump_total_mw
0.3005345806892266,78.35153376344613,23.566459522048927,1,1961,heat_pump_total_mw
0.2994073892182293,80.38024869491514,28.41772182770974,1,1993,heat_pump_total_mw
0.3006630381279372,81.69026693829441,23.051520420383238,1,1986,heat_pump_total_mw
0.2980353916174035,82.76988405980836,23.258374255433313,1,1979,heat_pump_total_mw
0.2992476422299521,84.587841676648,19.786277095566263,1,1965,heat_pump_total_mw
0.2996914406620951,90.17834919922404,27.66262208981458,1,1940,heat_pump_total_mw
0.3020742733520198,72.19112679916728,17.479615817317423,1,2015,heat_pump_total_mw
0.3030306747077313,74.97731113984734,19.106889024483635,1,1990,heat_pump_total_mw
0.3056617026675937,75.80899762599722,20.037220815958893,1,1983,heat_pump_total_mw
0.30434574991696384,78.35327862278426,18.530936072441907,2,"1949, 1998",heat_pump_total_mw
0.3130349658932291,87.16902483851312,27.45199125457101,1,1956,heat_pump_total_mw
