input_metric,output_metric,corr,abs_corr
stress_energy_block,objective,0.74316410676222,0.74316410676222
cop_winter_mean,heat_pump_total_mw,-0.7209780128189214,0.7209780128189214
stress_score,heat_pump_total_mw,0.7122289858090828,0.7122289858090828
heat_demand_peak_mw,heat_pump_total_mw,0.7029222963185497,0.7029222963185497
stress_peak_block,heat_pump_total_mw,0.7026610125546001,0.7026610125546001
elec_for_heat_peak_mw,heat_pump_total_mw,0.702214376359975,0.702214376359975
stress_score,objective,0.6830164249911812,0.6830164249911812
stress_energy_block,heat_pump_total_mw,0.6773740533042175,0.6773740533042175
elec_for_heat_annual_mwh,heat_pump_total_mw,0.6467106885238956,0.6467106885238956
cf_vres_combined_annual,curtailment_share_pu,0.5895358973871841,0.5895358973871841
cf_vres_combined_annual,objective,-0.5786602116726817,0.5786602116726817
stress_energy_block,cap_gen_PV ground_mw,0.5784749184530698,0.5784749184530698
cop_winter_mean,objective,-0.5664478920635005,0.5664478920635005
elec_for_heat_annual_mwh,objective,0.5340770008291497,0.5340770008291497
stress_score,cap_gen_PV ground_mw,0.5217669447555494,0.5217669447555494
stress_energy_block,curtailment_share_pu,-0.49383530704303463,0.49383530704303463
cf_vres_combined_annual,cap_gen_PV ground_mw,-0.49342485108345974,0.49342485108345974
stress_energy_block,electrolyser_total_mw,0.48130970413997876,0.48130970413997876
cop_winter_mean,cap_gen_PV ground_mw,-0.44885163111404697,0.44885163111404697
elec_for_heat_peak_mw,objective,0.44489766344351833,0.44489766344351833
stress_peak_block,objective,0.4425905749687233,0.4425905749687233
heat_demand_peak_mw,objective,0.4401123650407029,0.4401123650407029
cf_vres_combined_annual,electrolyser_total_mw,-0.4318008005251128,0.4318008005251128
heat_demand_peak_mw,elec_transmission_total_mw,0.39806815738217866,0.39806815738217866
stress_peak_block,elec_transmission_total_mw,0.39646895638592006,0.39646895638592006
stress_persistence_block,objective,0.39527645135852174,0.39527645135852174
elec_for_heat_peak_mw,elec_transmission_total_mw,0.39479504072881433,0.39479504072881433
cf_vres_combined_annual,heat_pump_total_mw,-0.3798166116316255,0.3798166116316255
stress_energy_block,h2_pipeline_total_mw,0.3738213337274654,0.3738213337274654
elec_for_heat_annual_mwh,cap_gen_PV ground_mw,0.3691417155674386,0.3691417155674386
dark_doldrums_hours,objective,0.36532875731758757,0.36532875731758757
stress_persistence_block,cap_gen_PV ground_mw,0.34413391672650334,0.34413391672650334
dark_doldrums_hours,cap_gen_PV ground_mw,0.33613851337727885,0.33613851337727885
stress_score,electrolyser_total_mw,0.3269321103541869,0.3269321103541869
stress_score,elec_transmission_total_mw,0.3170038354968235,0.3170038354968235
cop_winter_mean,elec_transmission_total_mw,-0.31309898578297096,0.31309898578297096
cf_vres_combined_annual,h2_pipeline_total_mw,-0.31122369907864766,0.31122369907864766
cold_stress_hours_cop_lt2,heat_pump_total_mw,0.3093585204408524,0.3093585204408524
elec_for_heat_peak_mw,cap_gen_PV ground_mw,0.30583424660723674,0.30583424660723674
stress_peak_block,cap_gen_PV ground_mw,0.30413921249925835,0.30413921249925835
heat_demand_peak_mw,cap_gen_PV ground_mw,0.3023242839197741,0.3023242839197741
elec_for_heat_annual_mwh,elec_transmission_total_mw,0.3000284913064797,0.3000284913064797
elec_for_heat_annual_mwh,electrolyser_total_mw,0.28411156997581716,0.28411156997581716
stress_energy_block,elec_transmission_total_mw,0.2779021274673703,0.2779021274673703
dark_doldrums_hours,electrolyser_total_mw,0.2657204840663716,0.2657204840663716
dark_doldrums_hours,curtailment_share_pu,-0.2600715561102291,0.2600715561102291
stress_score,curtailment_share_pu,-0.256183001662125,0.256183001662125
stress_score,h2_pipeline_total_mw,0.25066078475075176,0.25066078475075176
elec_for_heat_annual_mwh,h2_pipeline_total_mw,0.2468191625752884,0.2468191625752884
cop_winter_mean,electrolyser_total_mw,-0.24155263112442973,0.24155263112442973
cold_stress_hours_cop_lt2,objective,0.23385259457755173,0.23385259457755173
stress_energy_block,storage_energy_hydrogen_storage_mwh,0.2261575094040211,0.2261575094040211
cold_stress_hours_cop_lt2,h2_pipeline_total_mw,0.22050322260224686,0.22050322260224686
cold_stress_hours_cop_lt2,electrolyser_total_mw,0.21602470172491697,0.21602470172491697
cold_stress_hours_cop_lt2,cap_gen_PV ground_mw,0.2119058190755847,0.2119058190755847
cf_vres_combined_annual,storage_energy_hydrogen_storage_mwh,-0.19814306603891804,0.19814306603891804
wind_drought_max_hours,objective,0.18893878328702018,0.18893878328702018
dark_doldrums_hours,storage_energy_hydrogen_storage_mwh,0.1867594413602124,0.1867594413602124
dark_doldrums_hours,h2_pipeline_total_mw,0.18242195153504429,0.18242195153504429
cold_stress_hours_cop_lt2,storage_energy_hydrogen_storage_mwh,0.17422598720514912,0.17422598720514912
stress_persistence_block,electrolyser_total_mw,0.1639819625266066,0.1639819625266066
stress_persistence_block,storage_energy_hydrogen_storage_mwh,0.14259515735842263,0.14259515735842263
stress_persistence_block,h2_pipeline_total_mw,0.14165461193434636,0.14165461193434636
wind_drought_max_hours,cap_gen_PV ground_mw,0.14123055067471835,0.14123055067471835
elec_for_heat_annual_mwh,storage_energy_hydrogen_storage_mwh,0.13864520592447174,0.13864520592447174
heat_demand_peak_mw,electrolyser_total_mw,0.1382186138765383,0.1382186138765383
stress_peak_block,electrolyser_total_mw,0.13798479761278046,0.13798479761278046
elec_for_heat_peak_mw,electrolyser_total_mw,0.1377183376847259,0.1377183376847259
stress_persistence_block,heat_pump_total_mw,0.13696031414415255,0.13696031414415255
stress_score,storage_energy_hydrogen_storage_mwh,0.13305857681481456,0.13305857681481456
elec_for_heat_annual_mwh,curtailment_share_pu,-0.13280324459661066,0.13280324459661066
cop_winter_mean,h2_pipeline_total_mw,-0.12921151992437085,0.12921151992437085
cop_winter_mean,curtailment_share_pu,0.12796013838116385,0.12796013838116385
wind_drought_max_hours,electrolyser_total_mw,-0.12400433008351969,0.12400433008351969
cf_vres_combined_annual,elec_transmission_total_mw,-0.1237875248870456,0.1237875248870456
