metric,pretty_name,n_years,mean,std,min,max,range,cv,min_year,max_year
cap_gen_wind_mw,Capacity: wind (MW),86,36400.0,0.0,36400.0,36400.0,0.0,0.0,1940,1940
storage_power_battery_mw,Storage power: battery (MW),86,17469.0,0.0,17469.0,17469.0,0.0,0.0,1940,1940
storage_power_PSH_mw,Storage power: PSH (MW),86,9070.0,0.0,9070.0,9070.0,0.0,0.0,1940,1940
cap_gen_wind offshore_mw,Capacity: wind offshore (MW),86,45343.0,0.0,45343.0,45343.0,0.0,0.0,1940,1940
load_hydrogen_mwh,load hydroGeneration: mwh,86,94892861.2380657,0.0,94892861.2380657,94892861.2380657,0.0,0.0,1940,1940
cap_gen_nuclear_mw,Capacity: nuclear (MW),86,19843.0,0.0,19843.0,19843.0,0.0,0.0,1940,1940
cap_gen_Biogas plant_mw,Capacity: Biogas plant (MW),86,4999.0,0.0,4999.0,4999.0,0.0,0.0,1940,1940
transmission_peak_utilisation,transmission peak utilisation,86,1.0,3.3861484801135303e-17,1.0,1.0000000000000002,2.220446049250313e-16,3.3861484801135303e-17,1940,1971
cap_gen_Natural gas_mw,Capacity: Natural gas (MW),86,20200.0,1.1095731339636016e-12,20200.0,20200.000000000004,3.637978807091713e-12,5.492936306750503e-17,1941,1940
storage_power_flow_mw,Storage power: flow (MW),86,156.0,1.5925125061591567e-14,155.99999999999997,156.0000000000001,1.4210854715202004e-13,1.0208413501020234e-16,1962,2019
chp_h2_total_mw,chp h2 total (MW),86,917.4989160923332,2.2737367544323206e-13,917.4989160923334,917.4989160923334,0.0,2.4781901259526953e-16,1940,1940
load_transport_mwh,load transport (MW)h,86,65141450.34617131,4.470348358154297e-08,65141450.34617131,65141450.34617131,0.0,6.862525065681228e-16,1940,1940
storage_power_transport_mw,Storage power: transport (MW),86,1859.0596559980406,1.3642420526593924e-12,1859.05965599804,1859.05965599804,0.0,7.33834467472748e-16,1940,1940
storage_power_hydrogen_storage_other_mw,Storage power: hydroGeneration: storage other (MW),86,22353.000000000004,2.5317361452893135e-11,22352.999999999985,22353.000000000226,2.4010660126805305e-10,1.132615821272005e-15,2024,1974
transmission_mean_utilisation,transmission mean utilisation,86,0.757828801805932,0.0030587252146001675,0.750011412107486,0.7664984879964072,0.016487075888921177,0.004036169128583026,2021,1962
elec_transmission_total_mw,elec transmission total (MW),86,165158.58663114486,1336.8053835277865,160937.15718331363,166830.98542207453,5893.828238760907,0.008094071345580876,1951,1940
total_annual_load_mwh,total annual load (MW)h,86,485289954.01909053,4894084.728718932,471947431.6408864,497237906.1688944,25290474.528007984,0.010084867177214235,2024,1940
gen_nuclear_mwh,Generation: nuclear (MW)h,86,133512046.71268459,2827255.750593521,128256312.42604318,142066331.84673148,13810019.420688301,0.021176034823866662,1961,2001
objective,objective,86,77353004702.91258,1940809569.814593,73549079347.22447,82623034458.58145,9073955111.35698,0.025090293224789437,2019,1996
gen_Biogas plant_mwh,Generation: Biogas plant (MW)h,86,26872954.00713252,718243.4126514704,25380803.74502465,28871253.16793044,3490449.422905788,0.02672737103858537,2020,2009
