metric,pretty_name,n_years,mean,std,min,max,range,cv,min_year,max_year
curtailment_PV_ground_mwh,Curtailment: PV ground (MW)h,86,313150.3386008166,878125.1583218421,4.5638002361611524e-10,5005124.109869679,5005124.109869679,2.804164805458563,1998,1985
curtailment_PV_ground_share,Curtailment: PV ground share,86,0.0026824654954364217,0.006967147412580781,5.691215594289948e-18,0.0378656178786059,0.037865617878605894,2.5972924626369767,2004,1985
curtailment_wind_share,Curtailment: wind share,86,0.02248406311841323,0.021120868088547032,0.0003147613658036,0.0934632219034545,0.0931484605376509,0.9393706100767074,1978,2003
curtailment_wind_mwh,Curtailment: wind (MW)h,86,1956161.8122348473,1776167.0348416802,26122.75724760744,8046466.341477386,8020343.5842297785,0.907985742147001,1966,1985
gen_Natural gas_mwh,Generation: Natural gas (MW)h,86,5047857.157365971,3044778.563723865,390586.3076317624,14713865.495026436,14323279.187394673,0.6031823937967105,1975,1997
storage_power_hydrogen_storage_mw,Storage power: hydroGeneration: storage (MW),86,11423.381199942509,2969.341879965282,6767.590956247187,19677.722417727862,12910.131461480676,0.2599354628890635,2002,1972
storage_power_hot_water_mw,Storage power: hot water (MW),86,28702.309947921563,7259.64133384239,11133.908614808432,44131.88413595394,32997.975521145505,0.2529288181687999,2020,2009
h2_pipeline_total_mw,h2 pipeline total (MW),86,10793.137142208387,2266.953154326013,7072.076810516184,16256.64543958534,9184.568629069156,0.21003653751981988,1949,1991
h2_network_abs_flow_mwh,h2 network abs flow (MW)h,86,54909464.65927596,9310510.191812685,42263310.76464408,78211221.59073366,35947910.82608958,0.1695611175520693,1949,1991
curtailment_total_mwh,Curtailment: total (MW)h,86,78461683.85738936,12838292.51162427,51725607.06032101,110145642.03255583,58420034.97223482,0.1636249935058612,1960,1985
curtailment_wind_offshore_mwh,Curtailment: wind offshore (MW)h,86,76192371.7065537,11579186.161823932,51681785.07684156,100318555.40976538,48636770.332923815,0.15197303749015528,1960,1949
heat_pump_total_mw,heat (p.u.)mp total (MW),86,22959.795552140975,3427.0236949161617,14510.535903110636,33234.71110240466,18724.175199294026,0.14926194299655232,2020,1987
cap_gen_PV ground_mw,Capacity: PV ground (MW),86,78230.06789728977,11234.005201793389,69844.0,124181.20325430157,54337.20325430157,0.14360214050360787,1943,1985
gen_PV ground_mwh,Generation: PV ground (MW)h,86,88598908.05210151,12602882.684159575,72530298.17545824,127176110.22032644,54645812.0448682,0.14224647866707701,1974,1985
curtailment_share_pu,Curtailment: share (p.u.),86,0.20081549893731784,0.02590876207710755,0.1435020297625247,0.2573905326491113,0.11388850288658661,0.12901774123119183,1960,1985
curtailment_wind_offshore_share,Curtailment: wind offshore share,86,0.3590805392939921,0.04506397383208836,0.2519847423704882,0.4648339800153869,0.21284923764489871,0.125498234799054,1960,1985
gen_wind_mwh,Generation: wind (MW)h,86,86460182.66950399,6857823.787989608,71287959.55653103,101347465.61763236,30059506.061101332,0.07931771106942713,2009,1983
gen_wind offshore_mwh,Generation: wind offshore (MW)h,86,135477556.5869322,9419266.049977511,110279391.40381342,156313884.3306353,46034492.92682189,0.06952639453556596,1951,1966
electrolyser_total_mw,electrolyser total (MW),86,23496.160020919397,1370.3417919438366,20505.62266824096,27433.314282439234,6927.691614198273,0.05832194668080983,1983,1952
peak_load_mw,peak load (MW),86,76817.53494434022,2604.9165711167107,71471.75655137615,83975.33950731393,12503.582955937774,0.03391044210158733,2020,1940
