year,solve_label,Cost (bn €),Curtailment (%),Electrolyser (GW),Heat pump (GW),H₂ storage (TWh),Stress score,VRES CF,Elec-for-heat (TWh),Wind drought (h)
1987,Optimal,78.1,20.4,24.2,33.2,1.3,0.7263353262816273,0.2805504111192858,85.8,89
1963,Optimal,81.6,17.2,23.7,27.4,1.2,0.7101740150154292,0.2584128756613963,84.7,58
1985,Optimal,81.1,25.7,26.3,30.9,1.4,0.6979661833226373,0.2771247719197735,85.0,88
1942,Optimal,80.5,21.4,22.4,26.6,1.1,0.6968702939349525,0.2840476915472589,87.0,103
1996,Optimal,82.6,18.0,24.3,28.4,1.6,0.6952420726603487,0.255010283807476,84.8,84
1940,Optimal,80.5,24.4,22.4,27.7,1.0,0.6691003473513771,0.299691440662773,90.2,73
1941,Optimal,79.3,18.1,24.8,25.4,1.0,0.6622874966393748,0.2841258873235532,87.7,49
1972,Optimal,79.3,18.2,26.4,21.9,2.1,0.6619781541556099,0.2690017226542338,80.0,63
1970,Optimal,77.9,19.7,23.4,26.5,1.3,0.6518698359499706,0.2824809291598192,83.3,63
1997,Optimal,81.1,22.1,22.3,20.4,1.0,0.6452096328674108,0.2808233791672523,79.8,107
1955,Optimal,77.8,21.0,23.7,23.7,1.3,0.6384763303125247,0.2733264100550746,82.8,109
1954,Optimal,77.6,21.2,24.1,30.2,1.2,0.628819737591786,0.2805461550718174,84.2,54
2006,Optimal,77.7,19.7,21.7,28.7,0.9,0.6152615565576777,0.2673878505722348,77.0,58
1968,Optimal,80.1,18.3,23.4,21.8,1.4,0.6059089788807827,0.2707817696643371,79.6,138
2010,Optimal,78.4,16.1,24.1,24.1,1.0,0.6019960025449306,0.2735512271729664,81.7,61
1956,Optimal,77.0,22.5,23.8,27.5,1.5,0.6014246616492712,0.3130349658921289,87.2,55
1962,Optimal,78.0,20.9,24.5,23.6,1.6,0.6011458727844845,0.2875522943248494,84.0,103
1947,Optimal,77.5,15.8,24.4,25.2,1.0,0.5889008223648855,0.2782448726090736,84.1,71
1982,Optimal,80.4,19.6,23.5,23.8,1.2,0.5863164237782654,0.2663533040982493,78.3,111
1969,Optimal,78.5,18.7,24.3,25.2,1.7,0.5862711960924419,0.2873085220984449,84.5,58
1978,Optimal,78.1,16.9,25.1,26.4,1.7,0.573472927728872,0.2819730827238841,83.0,64
1976,Optimal,78.1,21.9,21.8,25.3,0.9,0.563999719390087,0.2729597706128149,82.8,78
1964,Optimal,79.5,18.3,24.7,25.7,1.8,0.5578024422424602,0.2725645366216611,82.2,69
1991,Optimal,77.6,17.9,24.0,21.1,1.7,0.5537572941822166,0.282430246095622,80.2,79
1948,Optimal,78.7,18.6,25.3,24.7,1.2,0.5532301982852783,0.2858047544395235,79.1,70
2016,Optimal,76.8,16.6,25.0,22.4,1.4,0.5398422208291601,0.26807084488346,74.4,102
1960,Optimal,76.7,14.4,23.2,22.4,0.9,0.5397381989652307,0.2716482848696838,80.0,58
1995,Optimal,77.7,20.3,23.4,20.1,1.0,0.5392792492901406,0.2891873709611051,78.8,114
1980,Optimal,79.4,18.9,23.3,22.1,1.4,0.5378333734154053,0.2797773376434067,85.0,64
1943,Optimal,76.8,21.6,22.6,21.3,0.9,0.5376512544496105,0.2952041161127299,79.3,119
1965,Optimal,76.8,20.7,23.9,19.8,1.5,0.5368797792851404,0.2992476422303152,84.6,69
