year,stress_score,primary_stress_block,primary_stress_driver,cf_vres_combined_annual,heat_demand_annual_mwh,elec_for_heat_annual_mwh,wind_drought_max_hours,dark_doldrums_hours,cold_stress_hours_cop_lt2
1987,0.7263353262822378,peak,peak_heat,0.2805504111198068,157886749.60089278,85849465.98364837,89,278,5220
1963,0.7101740150133692,peak,low_vres,0.2584128756625971,156052549.73651987,84682177.06543362,58,286,4767
1985,0.6979661833249455,peak,peak_heat,0.2771247719196648,156786996.8429228,84999741.36802639,88,232,5060
1942,0.6968702939370358,peak,peak_heat,0.28404769154730647,158825109.6770078,86960840.91726896,103,225,4946
1996,0.6952420726603487,energy,low_vres,0.25501028380792123,156441809.903304,84788251.395174,84,277,4927
1940,0.6691003473560516,peak,annual_electricity_for_heat,0.29969144066209513,162223299.93418342,90178349.19922403,73,161,5153
1941,0.6622874966392577,peak,cold_cop_hours,0.2841258873243679,160161340.57905126,87709791.85200903,49,220,5641
1972,0.6619781541599351,peak,dark_doldrums,0.26900172265333117,151143209.72420514,79989930.48202422,63,373,5236
1970,0.6518698359555127,peak,dark_doldrums,0.28248092915864503,155068932.8271889,83296096.59242643,63,317,5234
1997,0.6452096328699191,peak,dark_doldrums,0.2808233791671157,151061750.1123757,79796258.75110385,107,308,5110
1955,0.6384763303188796,persistence,dark_doldrums,0.2733264100535141,154611949.54281908,82839216.6268393,109,347,5336
1954,0.62881973759374,peak,peak_heat,0.2805461550718706,155808923.49837166,84171279.1679942,54,198,5121
2006,0.6152615565590956,peak,peak_heat,0.2673878505723261,147384061.92771292,76950003.24013883,58,242,4514
1968,0.605908978887087,persistence,wind_drought,0.2707817696627655,150597530.0263154,79629863.91230372,138,309,4755
2010,0.6019960025494148,peak,peak_heat,0.2735512271720597,152944928.67959183,81702945.66748613,61,279,4837
1956,0.6014246616492711,peak,peak_heat,0.3130349658932291,159210585.08486712,87169024.83851312,55,197,5257
1962,0.6011458727940812,persistence,cold_cop_hours,0.28755229432232093,156018222.11472836,83968550.9639248,103,263,5326
1947,0.5889008223642355,peak,annual_electricity_for_heat,0.2782448726100074,155442121.61232805,84131638.1508562,71,206,4859
1982,0.5863164237788595,persistence,low_vres,0.26635330409861574,149248668.32490456,78277798.45521677,111,316,4904
1969,0.5862711960911335,peak,annual_electricity_for_heat,0.28730852209971014,156190479.09813708,84547048.22615008,58,287,4911
1978,0.5734729277360443,energy,cold_cop_hours,0.28197308272213667,155028362.50141466,83035452.6550363,64,265,5406
1976,0.5639997193891721,energy,low_vres,0.27295977061378124,154390564.3646878,82772233.9824577,78,262,5120
1964,0.5578024422450729,energy,low_vres,0.27256453662139485,153517261.17286226,82175603.60349631,69,225,5109
1991,0.5537572941823471,peak,cold_cop_hours,0.2824302460963312,151644491.88895106,80229514.71416551,79,236,5154
1948,0.5532301982880704,peak,peak_electricity_for_heat,0.2858047544393443,150134222.1582365,79149032.38169417,70,271,4818
2016,0.539842220921081,persistence,low_vres,0.2680708448520506,144573844.74388054,74417865.75408952,102,290,4899
1960,0.5397381989659095,energy,low_vres,0.27164828487008047,151205460.98974028,79996451.60200873,58,218,5183
1995,0.5392792492968712,persistence,dark_doldrums,0.2891873709595928,149836962.87068617,78802049.1114049,114,311,4899
1980,0.5378333734180138,energy,cold_cop_hours,0.2797773376432232,157010699.91942364,84966638.92393258,64,261,5375
1943,0.5376512544560592,peak,wind_drought,0.29520411611138375,150560541.19124678,79330034.79056007,119,217,4906
1965,0.5368797792888965,peak,cold_cop_hours,0.2992476422299521,156735442.4956128,84587841.67664799,69,204,5347
1950,0.5365770217704632,peak,peak_heat,0.294302645148058,150447767.83112872,79416042.7999652,61,220,4819
1973,0.532345707754256,persistence,cold_cop_hours,0.28006137094348965,151383789.66267997,79943022.23903263,96,279,5205
2021,0.5106671879793012,energy,low_vres,0.2725705395631265,147906683.78095382,77172750.93937582,68,252,4858
2003,0.5061028946101457,peak,low_vres,0.2741901030116447,149080478.72493762,78276926.65816371,44,276,4768
1945,0.5056773597355723,peak,peak_heat,0.2899151554356699,152605238.4922197,81211003.69877326,51,214,4977
2009,0.5042516083933855,energy,low_vres,0.270730181689459,148142852.438942,77348558.75008959,60,255,4770
1953,0.4961108430124672,persistence,wind_drought,0.2880287899913906,149747327.26504546,78733598.51768258,110,236,4883
1986,0.4918001239894161,peak,peak_heat,0.3006630381279372,153153964.6239702,81690266.93829441,66,174,4968
1959,0.48800490317110445,energy,low_vres,0.2719134755877424,149370143.16691303,78306188.9723301,59,290,5039
1979,0.48575042341937036,peak,cold_cop_hours,0.2980353916174035,154409123.93085414,82769884.05980836,54,176,5145
2001,0.483502559614509,energy,low_vres,0.26521168063309936,149559331.45572355,78503388.23561496,65,219,4815
1946,0.48349085901097766,energy,annual_electricity_for_heat,0.2875581427285402,151665661.87116116,80542012.25385717,89,218,4882
2005,0.4802051190674861,energy,low_vres,0.2746781082706906,149046106.4354874,78100874.42134057,77,267,4831
1958,0.47937028203632376,energy,low_vres,0.26948917430644487,152696094.02897757,81166021.97421256,47,242,5041
1944,0.4719785996564881,energy,dark_doldrums,0.2827074779372366,151435584.9278437,80242609.81455258,58,292,5061
2012,0.4697761952390323,peak,peak_heat,0.2839595427405337,147835653.3422366,77436642.97682905,44,177,4723
1951,0.4692763637021021,energy,cold_cop_hours,0.2801208680168493,149167680.76956144,78122784.58747385,67,225,5071
1981,0.46669246941595777,energy,cold_cop_hours,0.2865520803513038,151926259.33420146,80565426.2715398,74,199,5002
1952,0.4654530159392684,energy,cold_cop_hours,0.2743612767039916,154190002.29883504,82557184.85157049,51,256,5251
2013,0.4622613947711036,energy,low_vres,0.27036148745704325,148428499.0277935,77637114.75842854,77,283,4649
1984,0.4616280530638622,energy,dark_doldrums,0.27821166344138587,151370805.6650517,80022410.7035513,69,273,4992
2014,0.4603524915284951,peak,dark_doldrums,0.2802009242051079,143092433.60368776,73023234.07736975,77,305,4445
1999,0.45428410270630154,energy,low_vres,0.2740432928172779,146220136.09347495,75668892.50816394,60,250,4671
1971,0.45344297448711407,peak,cold_cop_hours,0.28835931076752125,149956433.50668743,78871533.19171728,58,190,5056
1949,0.449564587032508,persistence,wind_drought,0.30473036273889104,149438686.58873233,78321096.37962252,102,250,4896
1957,0.4386833849048087,energy,cold_cop_hours,0.2826028752869087,150601591.7651672,79241251.51201363,56,247,5188
1977,0.4386141217745698,energy,cold_cop_hours,0.28025340661968157,150808536.4976917,79383725.47848603,57,265,5146
1966,0.43724853820356674,energy,low_vres,0.27732230512056794,150350587.53027266,79249120.9737904,57,194,4743
1994,0.4284829868469471,peak,peak_heat,0.29872883932687927,146747038.9131766,76051873.90086566,81,217,4943
1993,0.42448308920264344,peak,peak_heat,0.29940738921822935,151753494.86065567,80380248.69491515,48,207,4865
1961,0.4207448008824526,peak,peak_heat,0.30053458068922667,149365891.55990052,78351533.76344612,56,134,4785
2000,0.41111347343089877,persistence,dark_doldrums,0.281991989014442,143052685.88917696,73023717.64850475,85,288,4399
2002,0.41050883481683464,peak,peak_heat,0.29468304629484576,145399014.43590677,75126746.78959368,60,204,4710
1988,0.40212852620235623,persistence,dark_doldrums,0.28921817319365367,149022600.4999477,78110448.85879424,97,263,4885
2022,0.3996607732580501,persistence,wind_drought,0.2760367985220965,143600199.27855867,73395202.46772312,105,282,4582
2018,0.3990077327944323,energy,low_vres,0.267089603647564,141924060.5539409,72309863.41462833,54,264,4136
2025,0.3976856766321288,energy,low_vres,0.2727402294563436,143915759.20532942,73644680.11997473,69,247,4675
2011,0.39065148898072016,peak,peak_heat,0.29523457630537264,146390640.27572232,75901719.27256852,58,198,4624
