year,cf_pv_annual_mean,cf_pv_summer_mean,cf_pv_winter_mean,cf_onshore_annual_mean,cf_offshore_annual_mean,cf_onshore_DJF,cf_onshore_MAM,cf_onshore_JJA,cf_onshore_SON,cf_offshore_DJF,cf_offshore_MAM,cf_offshore_JJA,cf_offshore_SON,cf_vres_combined_annual,cf_vres_combined_winter,wind_drought_max_hours,dark_doldrums_hours,heat_demand_annual_mwh,heat_demand_peak_mw,heat_demand_winter_mean,heat_demand_summer_mean,cop_annual_mean,cop_winter_mean,cop_summer_mean,cop_min_hourly,cold_stress_hours_cop_lt2,elec_for_heat_annual_mwh,elec_for_heat_peak_mw,elec_for_heat_winter_mean,stress_vres_low,stress_elec_for_heat,stress_heat_peak,stress_elec_for_heat_peak,stress_wind_drought,stress_doldrums,stress_cold_cop,stress_energy_block,stress_peak_block,stress_persistence_block,stress_score,primary_stress_block,secondary_stress_block,primary_stress_driver
1940,0.13493180564951485,0.2429417822563424,0.0706399458362906,0.28902082027640497,0.5620446711488415,0.32747454238664264,0.3288947546804632,0.1927368104414235,0.3080196329107295,0.5634847197175565,0.5743643509055026,0.4881607777093022,0.6228611907932422,0.299691440662773,0.27961842088505673,73,161,162223299.93418342,37275.30241908742,27886.745483550007,11544.47721600739,2.0225768254782306,1.5284551770811765,2.6335485483600403,1.2536915002222,5153,90178349.19922401,27495.104365576924,18632.023657763108,0.22996291836444568,1.0,1.0,1.0,0.3229166666666667,0.17829457364341086,0.6757475083056479,0.6149814591822228,1.0,0.39231958287190843,0.6691003473513771,peak,energy,annual_electricity_for_heat
1941,0.12713815705829054,0.23781197290561992,0.057438911890492585,0.281085409699336,0.5283824300791832,0.3845898463843695,0.29820713249769926,0.1561061116952079,0.28776120769139457,0.5784993608767753,0.6110513793190945,0.4409753244037109,0.48360645887356024,0.28412588732355326,0.2603380303993006,49,220,160161340.5790513,34854.5028686468,24835.500666907727,11945.272665945009,2.0125715581639456,1.6153534084014332,2.589319797134844,1.26657410646003,5641,87709791.85200901,25129.522390285263,15720.904251328488,0.49822036984881485,0.8894246200517343,0.8024137898079853,0.7970705928925723,0.07291666666666667,0.4069767441860465,1.0,0.6938224949502746,0.7997421913502788,0.4932978036175711,0.6622874966393748,peak,energy,cold_cop_hours
1942,0.13645310498518123,0.22798255518220764,0.06121785307128355,0.2619333487789967,0.5291474507296353,0.3022067730501679,0.29064176570489464,0.1573326474530392,0.29882875515701934,0.5138895726977734,0.5700719608239618,0.41024703791245865,0.6230704405468859,0.2840476915472589,0.2400092332110574,103,225,158825109.67700782,35855.19811336832,26885.113531918523,12243.107721344182,2.0607533948346313,1.5565842312144853,2.5245452155763592,1.25370134603681,4946,86960840.91726898,26038.351433969296,17593.86172388064,0.4995679994003268,0.8558764692401195,0.8840907634036338,0.875033707645369,0.6354166666666666,0.4263565891472868,0.5382059800664452,0.6777222343202232,0.8795622355245014,0.5333264119601329,0.6968702939349525,peak,energy,peak_heat
1943,0.13573996520551512,0.21554820436907765,0.05498052143551377,0.2775848610240848,0.5549786136358359,0.3567397380686455,0.3390458759377378,0.18419905240103676,0.23157543341149006,0.6753214791793263,0.601465172227958,0.4318944695352663,0.5133975143815839,0.29520411611272995,0.3411467030117356,119,217,150560541.19124678,32890.06930341825,22985.806985041632,11784.723078676987,2.0964816725987805,1.6813863658384114,2.591389364172351,1.28769353166736,4906,79330034.79056007,23101.45301714019,13962.958639783265,0.3072976729693294,0.5140657806108537,0.6420762751811135,0.6230944129234464,0.8020833333333334,0.3953488372093023,0.5116279069767442,0.4106817267900916,0.63258534405228,0.56968669250646,0.5376512544496105,peak,persistence,wind_drought
1944,0.1303822524207834,0.22676586611701952,0.04820120381285311,0.2596111802783299,0.5358823513630863,0.4002178720330131,0.25741763306227783,0.1223227769663317,0.2615643362196392,0.7109060518925326,0.5070119159867752,0.3588710707925242,0.5709261405879451,0.28270747793719003,0.35037592166699477,58,292,151435584.9278437,29909.867270152175,21964.04287208246,11364.930624367244,2.0863604293520464,1.7081573534893182,2.654131664784426,1.32227408046209,5061,80242609.81455258,20235.14684481313,13061.534346585993,0.5226653014779773,0.554943230803823,0.39883150704142967,0.3772108129408351,0.16666666666666666,0.686046511627907,0.6146179401993356,0.5388042661409002,0.3880211599911324,0.48911037283130304,0.4719785996544452,energy,persistence,dark_doldrums
1945,0.12920015809672517,0.22514543700810652,0.05004522798684675,0.2886962329186034,0.5384506968388647,0.38839901322653464,0.2944031938169305,0.21491356405072434,0.258912880231625,0.6384917813851301,0.5524030192684773,0.489558793373466,0.47483249734577093,0.2899151554362147,0.2992106470803508,51,214,152605238.4922197,33440.587279454776,23967.510220430217,11538.256987542925,2.0877571002342723,1.6451628854629656,2.6380921127423282,1.28122367964654,4977,81211003.69877325,23525.089127081614,14858.530593718591,0.3984478608979615,0.5983210043880929,0.6870096776628835,0.6594356708116289,0.09375,0.38372093023255816,0.5588039867109634,0.49838443264302723,0.6732226742372562,0.34542497231450725,0.505677359731597,peak,energy,peak_heat
1946,0.13564544570892553,0.23035356046938005,0.057489941519641596,0.26487552047856266,0.539765492456684,0.41549813748844316,0.247896822685152,0.16102959861055557,0.23806045979681734,0.6362769250318894,0.5565667101736602,0.3998560272665223,0.5687757104321189,0.287558142716574,0.3552549714601297,89,218,151665661.8711612,31094.087937576638,23122.407825581828,11221.763485949035,2.116255025735665,1.6708849416134357,2.7025742553797896,1.29997196078892,4882,80542012.25385717,21375.572457372597,14090.14211891143,0.43906872489859583,0.5683545208112815,0.49548786740173667,0.47504123937460263,0.4895833333333333,0.3992248062015504,0.4956810631229236,0.5037116228549386,0.48526455338816965,0.46149640088593574,0.4834908590430147,energy,peak,annual_electricity_for_heat
1947,0.1355382016796518,0.2329976526777974,0.06215528027171611,0.2645593370536934,0.5090491471081223,0.35954638835351044,0.2901235412082377,0.14418269701388645,0.2664704302895245,0.6072201948004805,0.5595051656818223,0.3702525511419268,0.5012682551058956,0.2782448726090736,0.29948283256390046,71,206,155442121.61232802,33953.927031375904,26923.446608200018,11498.769691837268,2.095154801368266,1.554140625030099,2.668316657127632,1.26975813695873,4859,84131638.15085618,24219.195729120875,17658.716697588425,0.599574043892212,0.7291465104649173,0.7289085850319563,0.7189790063173925,0.3020833333333333,0.35271317829457366,0.48039867109634554,0.6643602771785646,0.7239437956746744,0.3783983942414175,0.5889008223648855,peak,energy,annual_electricity_for_heat
1948,0.12822968727407963,0.21381274585567872,0.0516441499580685,0.28374057887949833,0.5301822544172088,0.35557204266483644,0.2734771485280282,0.18690079950187463,0.3209786399168192,0.5648516455734236,0.5484381932421651,0.3755250833665083,0.6337939924469792,0.2858047544395235,0.27240664264257036,70,271,150134222.1582365,33868.036147588224,22893.112406095122,11996.458248850298,2.0976635202202796,1.6841905029625475,2.5604673545271126,1.28566488522984,4818,79149032.38169415,24261.27777270702,13894.525670171413,0.469286697906917,0.5059580450727348,0.7218981515515958,0.7225889780892448,0.2916666666666667,0.6046511627906976,0.453156146179402,0.4876223714898259,0.7222435648204203,0.4498246585455888,0.5532301982852783,peak,energy,peak_electricity_for_heat
1949,0.12969215092104028,0.20312832804796707,0.054394146133209746,0.30678031877388867,0.5727044814905912,0.4488644216306545,0.33540241307177315,0.22895478672518982,0.2160017145537349,0.7733745391013469,0.5957637516597323,0.4755432245530187,0.44915588366342263,0.3047303627390644,0.37054749179681995,102,250,149438686.58873233,31103.024215238085,22477.438906665793,12221.205655590045,2.1053172241531555,1.6958656470414195,2.547348071649804,1.28093840649209,4896,78321096.37962252,21515.176171844483,13460.60781988009,0.14312190700069402,0.46887187484249715,0.49621724841803255,0.4870170234749535,0.625,0.5232558139534884,0.5049833887043189,0.3059968909215956,0.49161713594649303,0.5510797342192691,0.44956458702911933,persistence,peak,wind_drought
