year,stress_score,primary_stress_block,primary_stress_driver,cf_vres_combined_annual,heat_demand_annual_mwh,elec_for_heat_annual_mwh,wind_drought_max_hours,dark_doldrums_hours,cold_stress_hours_cop_lt2
1987,0.7263353262816273,peak,peak_heat,0.28055041111928586,157886749.60089278,85849465.98364839,89,278,5220
1963,0.7101740150154292,peak,low_vres,0.2584128756613963,156052549.7365199,84682177.06543362,58,286,4767
1985,0.6979661833226373,peak,peak_heat,0.2771247719197735,156786996.84292278,84999741.36802638,88,232,5060
1942,0.6968702939349525,peak,peak_heat,0.2840476915472589,158825109.67700782,86960840.91726898,103,225,4946
1996,0.6952420726603487,energy,low_vres,0.25501028380747603,156441809.90330404,84788251.395174,84,277,4927
1940,0.6691003473513771,peak,annual_electricity_for_heat,0.299691440662773,162223299.93418342,90178349.19922401,73,161,5153
1941,0.6622874966393748,peak,cold_cop_hours,0.28412588732355326,160161340.5790513,87709791.85200901,49,220,5641
1972,0.6619781541556099,peak,dark_doldrums,0.26900172265423383,151143209.72420514,79989930.48202421,63,373,5236
1970,0.6518698359499706,peak,dark_doldrums,0.28248092915981926,155068932.8271889,83296096.59242643,63,317,5234
1997,0.6452096328674108,peak,dark_doldrums,0.28082337916725236,151061750.1123757,79796258.75110385,107,308,5110
1955,0.6384763303125247,persistence,dark_doldrums,0.27332641005507463,154611949.5428191,82839216.62683928,109,347,5336
1954,0.628819737591786,peak,peak_heat,0.28054615507181746,155808923.4983717,84171279.1679942,54,198,5121
2006,0.6152615565576777,peak,peak_heat,0.26738785057223485,147384061.92771295,76950003.24013883,58,242,4514
1968,0.6059089788807827,persistence,wind_drought,0.27078176966433715,150597530.0263154,79629863.91230372,138,309,4755
2010,0.6019960025449306,peak,peak_heat,0.2735512271729664,152944928.6795918,81702945.66748615,61,279,4837
1956,0.6014246616492712,peak,peak_heat,0.3130349658921289,159210585.08486715,87169024.83851312,55,197,5257
1962,0.6011458727844845,persistence,cold_cop_hours,0.28755229432484947,156018222.11472836,83968550.9639248,103,263,5326
1947,0.5889008223648855,peak,annual_electricity_for_heat,0.2782448726090736,155442121.61232802,84131638.15085618,71,206,4859
